id,dish_name,Process,sauce
0,Kung Pao Chicken,"Cut the chicken meat into small cubes, rinse in water, pat dry with paper towels and marinate with the ingredients above for 30 minutes.
Mix the sauce ingredients in a small bowl and set aside.
Heat up a wok with one tablespoon of oil and stir-fry the marinated chicken until they are 70% cook. Dish out and set aside. Clean the wok and add in the remaining 2 tablespoons of oil until it's fully heated. Add in the ginger and garlic slices and do a quick stir before adding in the dried red chilies.
Stir fry the dried red chilies until aromatic and smell spicy, then add in the chicken meat. Do a few quick stirs before adding in the roasted peanuts. Add the sauce and stir continuously until the chicken meat is nicely coated with the sauce. Add in the scallions, stir to combine well with the chicken, dish out and serve immediately with steamed rice.","1.5 tablespoon soy sauce，
1 teaspoon dark soy sauce，
1 teaspoon sugar，
0.25 teaspoon  black vinegar，
2 tablespoons water，
1 teaspoon cornstarch"
1,Broccoli Chicken,"1.	Heat 1 teaspoon of oil in a large frying pan over medium heat. Add the broccoli and mushrooms and cook for approximately 4 minutes or until vegetables are tender.
2.	Add the ginger and garlic to the pan and cook for 30 seconds more.
3.	Remove the vegetables from the pan; place them on a plate and cover.
4.	Wipe the pan clean with a paper towel and turn the heat to high. Add the remaining tablespoon of oil.
5.	Season the chicken pieces with salt and pepper and add them to the pan in a single layer - you may need to do this step in batches. Cook for 3-4 minutes on each side until golden brown and cooked through.
6.	Add the vegetables back to the pan and cook for 2 more minutes or until the vegetables are warmed through.
7.	In a bowl whisk together the oyster sauce, chicken broth, sugar, sesame oil and soy sauce. In a small bowl mix the cornstarch with a tablespoon of cold water.
8.	Pour the oyster sauce mixture over the chicken and vegetables; cook for 30 seconds. Add the cornstarch and bring to a boil; cook for 1 more minute or until sauce has just started to thicken.
9.	Serve immediately, with rice if desired.","2 teaspoons minced  ginger，
1 teaspoon minced garlic，
0.25 cup oyster sauce，
1 teaspoon sugar，
1 teaspoon soy sauce，
1 teaspoon cornstarch，
salt and pepper "
2,Sweet and Sour Chicken,"1.	To make the sauce, whisk together the sugar, brown sugar, apple cider vinegar, ketchup, soy sauce and garlic into a small bowl.
2.	Pour enough canola oil into a dutch oven or frying pan that is comes up from the bottom about an inch to an inch and a half.
3.	Heat the oil on medium high to high heat, you’re looking for the chicken to cook and brown in about 2-3 minutes.
4.	Add the cornstarch to a large ziplock bag.
5.	Add the chicken pieces to the large ziplock bag and shake until all the pieces are well coated.
6.	Dip the pieces into the egg, then into the flour before adding to the hot oil.
7.	Cook the chicken for 2-3 minutes, until cooked through and crispy.
8.	Remove to a cookie sheet (no paper towels!) and continue cooking all the chicken pieces.
9.	When done cooking remove all but a tablespoon of the oil.
10.	Add the bell peppers, onion and pineapple and cook for 1-2 minutes, until crisp-tender.
11.	Add the sauce back in and stir to coat the pieces and cook for 30 seconds to help the garlic warm through.
12.	Add the chicken pieces back in and stir until the sauce has thickened and bubbling.
13.	Serve immediately, with optional garnishes of sesame seeds or green onions.","0.5 cup cornstarch，
2 eggs beaten，
0.5 cup sugar，
0.25 cup brown sugar，
0.5 cup apple cider vinegar，
0.3 cup ketchup，
4 teaspoons reduced， sodium soy sauce，
2 cloves garlic minced"
3,Curry Chicken,"1.	Sprinkle the chicken with salt. Set aside.
2.	In a Dutch oven or similar deep, sturdy pot, heat the oil over medium. Once it is hot, add the onions, and cook, stirring occasionally, until the onions begin to soften and turn translucent, 5 to 8 minutes.
3.	Stir in the red bell pepper, jalapeños, garlic, and ginger. Cook, stirring often, for 2 minutes.
4.	Diced vegetables in a Dutch oven
5.	Add curry powder, turmeric, allspice, and cayenne. Cooking, stirring constantly, until spices turn deep gold and become ultra fragrant, about 1 minute.
6.	Vegetables and spices in a Dutch oven
7.	Add the chicken and sauté for 5 minutes, stirring often. It should look golden on the outside but does not need to be completely cooked through.
8.	Jamaican chicken curry and vegetables in a Dutch oven
9.	Add the potatoes. Cook, stirring often, for 3 minutes.
10.	Chicken and vegetables in a Dutch oven with spices
11.	Add the coconut milk, Worcestershire, vinegar, and hot sauce. Stir to combine. Bring to a simmer. Continue to simmer, reducing the heat to low as needed, until the chicken is tender and cooked through, the potatoes are tender, and sauce has slightly reduced, 15 to 20 minutes. Stir every few minutes to keep the sauce from sticking.
12.	Easy Jamaican chicken curry in a Dutch oven
13.	Taste and season with additional salt or hot sauce as desired. Serve hot over rice, with a big sprinkle of cilantro.","
1 teaspoon salt，
2 tablespoons olive oil，
1 teaspoon minced ginger，
3 0.5 tablespoons curry powder，
1 0.5 teaspoons white wine vinegar"
4,Cashew Chicken,"Preheat the oven to 350°F.
Place the cashews on a baking sheet in a single layer. Toast in the oven until fragrant, about 5 minutes. Set aside; they will crisp up as they cool.
Meanwhile, prepare the sauce: in a small bowl, whisk together the water, cornstarch, hoisin sauce, and soy sauce. Set aside.
Place the chicken pieces in a large bowl. Sprinkle with the salt and pepper and toss to coat evenly.
In a large nonstick skillet, heat 1 tablespoon of the vegetable oil over high heat until very hot. Add half of the chicken to the skillet and stir-fry until lightly browned but not cooked through, about 3 minutes. Transfer to a plate.
Add the remaining tablespoon vegetable oil to the skillet; then add the remaining chicken, garlic and white parts of the scallions. Stir-fry until the chicken is lightly browned but not cooked through, about 3 minutes. Return the first batch of chicken to the pan. Turn the heat down to medium and add the rice vinegar; cook until evaporated, about 30 seconds.

Add the sauce mixture to the chicken; cook, tossing, until the chicken is cooked through and the sauce is nicely thickened, about 1 minute. Remove from the heat. Stir in the scallion greens, cashews and sesame oil. Serve immediately.","2 teaspoons cornstarch，
4 tablespoons hoisin sauce，
1 tablespoon soy sauce，
 0.5 teaspoon salt，
0.25 teaspoon black pepper，
2 tablespoons vegetable oil，
6 medium garlic cloves，
2 tablespoons rice vinegar，
0.25 teaspoon Asian sesame oil"
5,Broccoli Beef,"Combine the beef with 1 tablespoon of the soy sauce and 1 tablespoon of the Shaoxing wine (or dry sherry) in a bowl and toss to coat. Let marinate for 30 minutes at room temperature or 1 hour in the refrigerator.
Meanwhile, combine the remaining 3 tablespoons of soy sauce with the cornstarch and stir with a fork until the cornstarch is dissolved. Add the remaining 3 tablespoons of Shaoxing wine (or dry sherry), oyster sauce, chicken broth, sugar, and sesame oil. Stir and set aside.
Combine the scallion whites, garlic and ginger in a bowl and set aside.
When you're ready to cook, heat 1 tablespoon of oil in a large sauté pan or wok over high heat until smoking. Add the broccoli and stir-fry for 30 seconds, then add the water. Cover the pan with a lid (or tightly with foil) and lower the heat to medium; steam the broccoli until tender-crisp, about 2 minutes, then transfer to a paper towel–lined plate.
Wipe any excess water out the pan. Increase the heat to high and heat another tablespoon of oil in the pan until smoking. Add half of the beef, so that it is in a single layer, and cook without moving until the beef is well seared, about 1-0.5 minutes. Continue cooking while stirring until the beef is lightly cooked but still pink in spots, about 30 seconds. Transfer to a plate.
Add another tablespoon of oil to the pan and heat until smoking. Add the remaining beef and cook without moving until the beef is well seared, about 1-0.5 minutes. Add the scallion whites, garlic and ginger mixture and cook, stirring constantly with the beef, for about 30 seconds.

Return the reserved beef and broccoli to the pan, along with the reserved sauce and scallion greens and cook, tossing and stirring constantly until the sauce is lightly thickened, about 45 seconds. Transfer to a serving platter and serve with rice.","
0.25 cup soy sauce，
0.25 cup Chinese rice wine，
2 teaspoons cornstarch，
0.25 cup oyster sauce，
0.3 cup low sodium chicken broth，
1 tablespoon sugar，
1 teaspoon Asian toasted sesame oil，
3 cloves garlic, minced，
1 tablespoon finely minced fresh ginger，
3 tablespoons vegetable oil，
0.3 cup water"
6,Pepper Beef,"Heat 1 teaspoon of the vegetable oil over medium high heat in a large pan.
Add the peppers and cook for 3-4 minutes or until just tender. Remove the peppers from the pan and place on a plate.
Add the remaining oil to the pan. Season the flank steak with salt and pepper to taste.
Increase heat to high. Add the steak to the pan and cook for 5-6 minutes or until lightly browned.
Add the garlic and ginger, then cook for 30 seconds.
Place the peppers back in the pan with the steak.
In a small bowl, whisk together the soy sauce, sugar, 0.25 cup water and cornstarch. 
Pour the sauce over the steak mixture and bring to a simmer. Cook for 2-3 minutes or until sauce has just thickened, then serve."," 2 teaspoons minced garlic，
1 teaspoon minced ginger，
salt and pepper to taste
0.25 cup soy sauce，
1 0.5 tablespoons sugar，
1 0.5 tablespoons cornstarch"
7,Beaf with Snow Peas,"In a bowl, mix together the soy sauce, sherry, cornstarch, brown sugar and ginger. Add the beef to a separate bowl and pour one-third of the liquid over the top. Save the rest of the liquid. Toss the beef and set aside.
Heat the oil in a heavy skillet (iron is best) over high heat. Add the snow peas and stir for 45 seconds, getting as much color on them as possible. Remove to a plate.
Allow the skillet to get very hot again. With tongs, add half the meat mixture, leaving most of the marinade still in the bowl. Spread out the meat as you add it to skillet, but do not stir for a good minute. (You want the meat to get as brown as possible as quickly as possible.) Sprinkle half the scallions over the meat. Flip the meat to the other side and cook for another 30 seconds. Remove to a clean plate.
Repeat with the other half of the meat, allowing the skillet to get very hot again first. After flipping, add the first plateful of meat, the reserved liquid, the crushed red pepper and snow peas. Stir over high heat for 30 seconds, and then turn off the heat. Check the seasonings and add salt only if it needs it. The mixture will thicken as it sits. Serve immediately over rice.","0.5 cup low-sodium soy sauce，
3 tablespoons sherry or cooking sherry，
2 tablespoons cornstarch，
2 tablespoons brown sugar，
6 peeled  ginger ，
3 tablespoons peanut or olive oil"
8,Sweet and Sour Pork,"MARINADE PORK:
Mix Pork with Marinade. Marinade 18 to 24 hours. (See Note 1 for marinating time for other cuts)
PREPARATION:
Rack & warm oven: Preheat oven to 80°C-175°F and place rack on tray - to keep pork warm.
Sauce: Place all Sauce ingredients EXCEPT water in a large jug or small bowl. Mix until combined, then mix in water.
Be Stir Fry Ready: Have all ingredients lined up, ready to toss in. After Fry #2, things move quickly.
DOUBLE DREDGE:
Coating #1: Mix 5 tablespoons cornflour into the pork and leave for 5 minutes. At first, it will be white from the cornflour, but after a while it will sweat and make the cornflour ( partially) wet, and will be sticky (this is key for coating to stick).
Coating #2: Spread 0.5 cup cornflour in a shallow bowl. Coat pork, shaking off excess, and pile onto a plate.
Reserve cornflour in case you need to dust again just prior to frying. Pork should be at least half white when you put it into the oil (if not, just sprinkle with reserved cornflour).
FRIED CRISPY PORK (NOTE 6 FOR OVEN):
Heat oil: Pour enough oil into a large saucepan or small pot so it's 2.5cm ( 1"") deep. Heat to 180°C-350°F (or until pork immediately starts sizzling when you dip it in).
Fry #1: Cook pork in batches, being sure not to crowd the pot, for 3 minutes until golden. Drain on rack. This step is just to cook the pork. It takes me 4 batches.
Fry #2: Turn the stove up slightly and heat oil to 200°C-390°F. Starting with the coolest pork, add half the pork (you can crowd the pot) and cook for 1.5 minutes, or until pork is deep golden brown and crispy. Transfer to rack, repeat with remaining pork - I do 2 batches.
Keep warm in oven.
SAUCE & STIR FRY:
Heat oil in a very large skillet over high heat.
Add garlic, ginger and onion, stir for 1.5 minutes. Add capsicum and stir for 2 minutes.
Add Sauce & pinapple, then let it come to a rapid simmer. Simmer for 2 minutes until it thickens - when you drag the spoon across the base, a path should briefly appear (see video at 1 min 53 s).
10 second toss: Add pork, then QUICKLY toss to coat - aim for 10 seconds!
Serve asap! Pour onto serving plate, serve immediately! Will stay crispy for around 5 minutes then starts softening but still has a solid coating. This is just the reality of Sweet and Sour Pork, even at restaurants!","0.3 cup white sugar,
0.3 cup apple cider vinegar, 
3 tbsp pineapple juice,
3 tbsp ketchup, 
1 tbsp soy sauce , light,
4 tsp cornflour or corn starch,
0.5 cup water
 "
9,Broccoli Shrimp ,"In a small bowl add the honey, soy sauce, ginger, garlic, red pepper and mix until combined.
Place the peeled and deveined shrimp into a bowl and add 0.3 of the sauce. Toss and marinate 30 minutes.
Whisk in the cornstarch to the reserved marinade and set aside.
Heat a skillet (I use cast iron) or wok on high heat, add olive oil and broccoli, salt and pepper and cook 5-6 minutes just until soft. Remove from pan and set aside.
Add the butter to the skillet and add shrimp discarding any marinade. Cook until the shrimp turns pink about 2 minutes each side.
Add in the reserved sauce and bring to a simmer. Add in the broccoli and toss until heated through.
Serve with white rice or pasta.
Garnish with green onions if desired.","0.5 cup honey,
0.25 cup soy sauce,
1 teaspoon fresh grated ginger,
2 tablespoons minced garlic,
0.25 teaspoon red pepper flakes,
0.5 teaspoon cornstarch,
"
