Table_Name,Fields,Datatype
AcceptedEventRelation,Id,id
AcceptedEventRelation,RelationId,id
AcceptedEventRelation,EventId,id
AcceptedEventRelation,RespondedDate,datetime
AcceptedEventRelation,Response,string
AcceptedEventRelation,CreatedDate,datetime
AcceptedEventRelation,CreatedById,id
AcceptedEventRelation,LastModifiedDate,datetime
AcceptedEventRelation,LastModifiedById,id
AcceptedEventRelation,SystemModstamp,datetime
AcceptedEventRelation,IsDeleted,boolean
AcceptedEventRelation,Type,string
Account,Id,id
Account,IsDeleted,boolean
Account,MasterRecordId,id
Account,Name,string
Account,Type,picklist
Account,ParentId,id
Account,BillingStreet,textarea
Account,BillingCity,string
Account,BillingState,string
Account,BillingPostalCode,string
Account,BillingCountry,string
Account,BillingLatitude,double
Account,BillingLongitude,double
Account,BillingGeocodeAccuracy,picklist
Account,BillingAddress,address
Account,ShippingStreet,textarea
Account,ShippingCity,string
Account,ShippingState,string
Account,ShippingPostalCode,string
Account,ShippingCountry,string
Account,ShippingLatitude,double
Account,ShippingLongitude,double
Account,ShippingGeocodeAccuracy,picklist
Account,ShippingAddress,address
Account,Phone,phone
Account,Fax,phone
Account,AccountNumber,string
Account,Website,url
Account,PhotoUrl,url
Account,Sic,string
Account,Industry,picklist
Account,AnnualRevenue,currency
Account,NumberOfEmployees,int
Account,Ownership,picklist
Account,TickerSymbol,string
Account,Description,textarea
Account,Rating,picklist
Account,Site,string
Account,OwnerId,id
Account,CreatedDate,datetime
Account,CreatedById,id
Account,LastModifiedDate,datetime
Account,LastModifiedById,id
Account,SystemModstamp,datetime
Account,LastActivityDate,date
Account,LastViewedDate,datetime
Account,LastReferencedDate,datetime
Account,Jigsaw,string
Account,JigsawCompanyId,string
Account,CleanStatus,picklist
Account,AccountSource,picklist
Account,DunsNumber,string
Account,Tradestyle,string
Account,NaicsCode,string
Account,NaicsDesc,string
Account,YearStarted,string
Account,SicDesc,string
Account,DandbCompanyId,id
Account,OperatingHoursId,id
Account,CustomerPriority__c,picklist
Account,SLA__c,picklist
Account,Active__c,picklist
Account,NumberofLocations__c,double
Account,UpsellOpportunity__c,picklist
Account,SLASerialNumber__c,string
Account,SLAExpirationDate__c,date
AccountCleanInfo,Id,id
AccountCleanInfo,IsDeleted,boolean
AccountCleanInfo,Name,string
AccountCleanInfo,CreatedDate,datetime
AccountCleanInfo,CreatedById,id
AccountCleanInfo,LastModifiedDate,datetime
AccountCleanInfo,LastModifiedById,id
AccountCleanInfo,SystemModstamp,datetime
AccountCleanInfo,AccountId,id
AccountCleanInfo,LastMatchedDate,datetime
AccountCleanInfo,LastStatusChangedDate,datetime
AccountCleanInfo,LastStatusChangedById,id
AccountCleanInfo,IsInactive,boolean
AccountCleanInfo,CompanyName,string
AccountCleanInfo,Phone,phone
AccountCleanInfo,Street,textarea
AccountCleanInfo,City,string
AccountCleanInfo,State,string
AccountCleanInfo,PostalCode,string
AccountCleanInfo,Country,string
AccountCleanInfo,Latitude,double
AccountCleanInfo,Longitude,double
AccountCleanInfo,GeocodeAccuracy,picklist
AccountCleanInfo,Address,address
AccountCleanInfo,Website,url
AccountCleanInfo,TickerSymbol,string
AccountCleanInfo,AnnualRevenue,currency
AccountCleanInfo,NumberOfEmployees,int
AccountCleanInfo,Industry,picklist
AccountCleanInfo,Ownership,picklist
AccountCleanInfo,DunsNumber,string
AccountCleanInfo,Sic,string
AccountCleanInfo,SicDescription,string
AccountCleanInfo,NaicsCode,string
AccountCleanInfo,NaicsDescription,string
AccountCleanInfo,YearStarted,string
AccountCleanInfo,Fax,phone
AccountCleanInfo,AccountSite,string
AccountCleanInfo,Description,textarea
AccountCleanInfo,Tradestyle,string
AccountCleanInfo,DandBCompanyDunsNumber,string
AccountCleanInfo,DunsRightMatchGrade,string
AccountCleanInfo,DunsRightMatchConfidence,int
AccountCleanInfo,CompanyStatusDataDotCom,picklist
AccountCleanInfo,IsReviewedCompanyName,boolean
AccountCleanInfo,IsReviewedPhone,boolean
AccountCleanInfo,IsReviewedAddress,boolean
AccountCleanInfo,IsReviewedWebsite,boolean
AccountCleanInfo,IsReviewedTickerSymbol,boolean
AccountCleanInfo,IsReviewedAnnualRevenue,boolean
AccountCleanInfo,IsReviewedNumberOfEmployees,boolean
AccountCleanInfo,IsReviewedIndustry,boolean
